gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000000766.18	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000000776.12	374	156	531	428	339	214	470	303	556	489	638	347	519	370	404	
ENSMUSG00000000782.15	156	95	157	306	84	34	192	71	367	1224	1306	878	1217	714	1448	
ENSMUSG00000000787.12	10631	6328	9418	5747	8741	3951	8809	3808	6527	9292	10581	8111	8791	6579	7344	
ENSMUSG00000000791.9	8	1	6	23	17	6	26	9	23	7	17	18	29	10	5	
ENSMUSG00000000792.2	9	10	13	46	26	6	15	21	15	22	21	10	10	4	11	
ENSMUSG00000000794.9	259	161	505	89	140	49	45	23	38	49	11	35	27	22	16	
ENSMUSG00000000804.14	665	302	544	368	672	375	581	340	408	536	530	497	501	447	477	
ENSMUSG00000000805.18	25357	13451	17849	16921	74061	7582	38777	19995	21514	423	2359	2962	954	746	671	
ENSMUSG00000000811.13	385	165	428	85	137	79	273	123	204	291	407	249	258	232	316	
ENSMUSG00000000817.10	0	0	0	0	3	1	2	2	1	3	2	1	0	1	0	
ENSMUSG00000000823.16	889	409	1480	322	586	156	538	332	470	701	534	503	534	630	410	
ENSMUSG00000000826.16	5305	2807	4361	3147	5123	1588	4193	2418	3490	3827	4082	3546	3615	2731	3464	
ENSMUSG00000000827.18	1696	974	2081	1225	1358	766	1678	1050	1737	1455	1857	1289	1367	1213	1416	
ENSMUSG00000000838.17	1315	867	1223	746	997	475	1114	691	1038	1049	1103	1063	815	589	850	
ENSMUSG00000000861.15	259	137	309	224	123	91	180	62	253	248	313	189	289	245	279	
ENSMUSG00000000869.12	3	6	2	3	12	0	3	4	5	11	10	2	7	5	4	
