gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000083597.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083598.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083601.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083603.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083606.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083607.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083608.1	0	0	0	1	4	0	2	0	4	0	2	1	2	3	1	
ENSMUSG00000083609.1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083610.1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	
ENSMUSG00000083611.1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000083613.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083614.1	2	0	0	1	5	2	2	0	0	0	0	0	0	1	2	
ENSMUSG00000083615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083616.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083617.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083618.1	18	12	4	12	22	1	25	11	27	56	68	14	34	15	46	
ENSMUSG00000083619.3	0	0	2	16	0	0	2	0	0	0	1	0	1	0	6	
ENSMUSG00000083620.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083621.1	83	90	134	77	58	35	113	82	91	44	104	55	61	36	105	
ENSMUSG00000083622.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083623.1	6	0	3	0	4	0	2	0	0	3	6	0	2	5	2	
ENSMUSG00000083624.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ENSMUSG00000083625.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083626.1	17	10	9	4	18	7	12	12	18	6	2	9	6	10	15	
ENSMUSG00000083627.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083628.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083630.2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083631.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083632.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083633.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083636.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083637.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083640.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083641.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083642.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083643.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083644.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000083645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083646.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083648.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083649.5	29	8	27	3	20	12	17	4	11	5	0	1	2	1	2	
ENSMUSG00000083650.1	1	0	0	0	1	1	1	0	1	0	1	2	0	1	0	
ENSMUSG00000083651.1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	
ENSMUSG00000083653.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083658.1	3	0	1	2	0	0	1	0	0	0	1	0	0	1	0	
ENSMUSG00000083659.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000083660.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083661.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083662.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
ENSMUSG00000083663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083665.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083666.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083667.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083668.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083669.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083671.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083672.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083673.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083674.3	9	3	8	5	9	8	15	13	17	10	13	14	8	4	17	
ENSMUSG00000083676.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083677.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083678.3	1	0	0	0	0	0	4	0	1	2	0	0	0	0	0	
ENSMUSG00000083679.1	15	15	41	6	8	6	4	4	8	6	0	1	2	6	2	
ENSMUSG00000083680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083682.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083683.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083684.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000083685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083686.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083687.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083688.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083689.1	0	1	0	1	2	1	1	0	1	0	1	1	0	0	0	
ENSMUSG00000083691.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083692.1	1	0	0	0	0	2	0	0	2	2	2	1	0	4	1	
ENSMUSG00000083693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083695.6	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	
ENSMUSG00000083697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083699.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083700.1	0	0	0	2	2	0	1	1	1	0	0	1	1	1	0	
ENSMUSG00000083701.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083704.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083705.2	17	20	33	28	20	2	38	26	35	10	24	11	6	3	11	
ENSMUSG00000083706.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083707.1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000083708.1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
ENSMUSG00000083709.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083710.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083713.1	1	1	0	0	0	0	4	1	1	0	0	1	0	0	1	
ENSMUSG00000083714.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083715.1	0	0	0	0	3	0	2	6	4	1	7	1	0	1	0	
ENSMUSG00000083716.4	114	85	158	208	73	123	198	108	275	80	212	97	113	93	109	
ENSMUSG00000083717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083718.2	40	9	32	5	10	20	21	4	19	40	25	20	21	11	14	
ENSMUSG00000083719.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083720.1	0	0	1	1	0	0	0	0	0	1	1	0	3	0	1	
ENSMUSG00000083721.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083722.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083723.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083725.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
ENSMUSG00000083728.1	1	0	3	1	1	1	1	0	2	0	2	3	2	2	9	
ENSMUSG00000083729.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083732.1	3	0	3	1	1	0	1	0	0	0	1	0	0	0	0	
ENSMUSG00000083733.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083734.1	3	0	3	0	6	0	0	0	0	1	5	2	4	0	0	
ENSMUSG00000083735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083736.1	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	
ENSMUSG00000083737.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083738.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083740.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083742.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083744.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083745.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000083747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083748.1	1	1	5	1	1	1	1	0	1	1	5	0	3	3	9	
ENSMUSG00000083749.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083750.1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	
ENSMUSG00000083751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083752.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083753.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083754.3	24	18	22	9	14	17	24	8	18	25	38	16	21	18	19	
ENSMUSG00000083755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083757.1	6	1	4	4	7	0	7	6	5	0	5	1	3	3	3	
ENSMUSG00000083760.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
ENSMUSG00000083761.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
ENSMUSG00000083763.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083764.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000083766.1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	
ENSMUSG00000083767.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083768.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083769.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083772.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083773.4	0	2	3	1	0	0	0	3	2	2	0	1	2	2	3	
ENSMUSG00000083774.1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000083775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083777.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083778.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083779.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083780.8	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	
ENSMUSG00000083781.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083782.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083783.1	0	1	1	0	2	0	3	3	2	3	1	0	1	5	1	
ENSMUSG00000083784.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083786.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083787.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083789.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083791.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083792.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000083793.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083796.3	0	7	0	3	1	0	3	0	0	0	0	1	2	1	0	
ENSMUSG00000083798.1	43	26	24	8	34	10	39	22	27	25	16	20	13	22	16	
ENSMUSG00000083801.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083803.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
ENSMUSG00000083804.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083805.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083806.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083807.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083808.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083809.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083810.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083811.1	8	0	7	2	4	0	4	6	1	6	2	4	9	9	2	
ENSMUSG00000083812.3	0	2	0	0	0	1	0	0	0	3	0	0	0	1	0	
ENSMUSG00000083813.1	23	6	17	2	18	6	4	8	4	8	9	4	12	4	1	
ENSMUSG00000083814.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083815.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083816.3	10	10	22	9	7	11	11	2	4	16	25	9	18	8	21	
ENSMUSG00000083817.1	0	0	3	1	0	0	1	2	1	1	0	3	0	0	0	
ENSMUSG00000083818.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083819.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
ENSMUSG00000083820.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083821.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083822.1	1	1	2	5	4	0	4	2	6	1	1	1	7	1	0	
ENSMUSG00000083823.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083825.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083826.1	1	0	0	0	1	0	1	1	3	1	1	2	0	0	0	
ENSMUSG00000083827.1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	
ENSMUSG00000083828.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083829.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083830.1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083831.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083832.1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	
ENSMUSG00000083833.4	37	17	50	63	26	20	40	14	49	24	32	18	26	17	20	
ENSMUSG00000083834.1	1	1	3	2	3	1	3	2	2	1	0	0	0	0	0	
ENSMUSG00000083835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083836.1	0	2	0	0	2	5	0	0	3	0	0	2	0	0	1	
ENSMUSG00000083837.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
ENSMUSG00000083838.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000083839.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083841.1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	
ENSMUSG00000083842.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083843.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083844.8	303	153	349	210	175	127	279	162	244	180	229	147	170	170	175	
ENSMUSG00000083845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083846.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083847.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083848.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083849.1	2	0	2	0	1	2	1	0	1	3	2	0	0	0	2	
ENSMUSG00000083851.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083852.1	0	0	3	1	0	0	0	0	0	2	0	0	2	1	1	
ENSMUSG00000083853.1	3	0	4	0	0	0	0	1	0	0	0	0	1	3	5	
ENSMUSG00000083854.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083855.4	21	7	4	2	12	5	1	2	1	2	0	3	1	2	1	
ENSMUSG00000083856.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083857.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000083858.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083859.1	1	0	0	1	2	0	0	0	0	1	0	0	1	0	0	
ENSMUSG00000083860.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083861.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083863.1	28	16	26	38	30	32	34	26	22	16	24	16	7	8	10	
ENSMUSG00000083864.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083866.1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	
ENSMUSG00000083867.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083869.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083870.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
ENSMUSG00000083871.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083872.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083873.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083874.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083875.1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	
ENSMUSG00000083876.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000083877.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083878.3	3	2	5	2	8	3	5	2	1	2	3	2	0	1	0	
ENSMUSG00000083879.4	2	0	0	0	0	0	1	0	0	2	6	3	3	0	0	
ENSMUSG00000083880.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083882.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083884.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083885.1	0	0	2	0	0	0	1	4	1	0	0	0	3	0	1	
ENSMUSG00000083886.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083887.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083888.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083889.4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083890.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083892.3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	
ENSMUSG00000083893.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083894.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000083895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083896.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083897.1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	
ENSMUSG00000083898.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083899.2	29	18	42	66	62	18	46	8	50	25	86	52	62	44	46	
ENSMUSG00000083900.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083901.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083902.2	8	6	8	5	11	10	7	4	13	15	9	7	7	2	8	
ENSMUSG00000083903.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083904.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083906.1	0	1	0	0	0	0	0	2	0	0	1	1	0	3	1	
ENSMUSG00000083907.2	16	3	16	3	7	5	4	1	8	13	6	8	14	9	3	
ENSMUSG00000083908.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083909.1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083910.1	1	0	1	0	0	0	1	1	1	0	0	2	0	0	0	
ENSMUSG00000083911.1	2	1	6	5	0	1	1	0	2	1	3	0	0	0	0	
ENSMUSG00000083912.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000083913.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083914.3	2	3	3	1	1	0	0	2	4	1	3	0	1	0	1	
ENSMUSG00000083915.1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083916.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000083918.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083919.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083920.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083921.2	2	0	3	2	2	1	3	0	2	2	1	0	1	2	2	
ENSMUSG00000083922.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000083923.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083924.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083926.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083927.1	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	
ENSMUSG00000083928.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083929.3	3	0	7	8	1	1	1	0	2	3	1	0	0	1	0	
ENSMUSG00000083930.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083931.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083932.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083934.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083935.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083936.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083937.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083938.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083939.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083940.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083941.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083942.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083943.1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	
ENSMUSG00000083944.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
