10598_at, AHSA1
10599_at, SLCO1B1
1059_at, CENPB
105_at, ADARB2
10600_at, USP16
10602_at, CDC42EP3
10603_at, SH2B2
10606_at, PAICS
10607_at, TBL3
10608_at, MXD4
10609_at, LEPREL4
1060_at, CENPC
10610_at, ST6GALNAC2
10611_at, PDLIM5
10612_at, TRIM3
10613_at, ERLIN1
10614_at, HEXIM1
10615_at, SPAG5
10616_at, RBCK1
10617_at, STAMBP
10618_at, TGOLN2
10621_at, POLR3F
10622_at, POLR3G
10623_at, POLR3C
10625_at, IVNS1ABP
10627_at, MYL12A
10628_at, TXNIP
10629_at, TAF6L
1062_at, CENPE
10630_at, PDPN
10631_at, POSTN
10632_at, ATP5L
10633_at, RASL10A
10634_at, GAS2L1
10635_at, RAD51AP1
10636_at, RGS14
10637_at, LEFTY1
10638_at, SPHAR
1063_at, CENPF
10640_at, EXOC5
10641_at, NPRL2
10643_at, IGF2BP3
10645_at, CAMKK2
10647_at, SCGB1D2
10648_at, SCGB1D1
10650_at, SLMO1
10651_at, MTX2
10652_at, YKT6
10653_at, SPINT2
10654_at, PMVK
10656_at, KHDRBS3
10657_at, KHDRBS1
10658_at, CELF1
10659_at, CELF2
10660_at, LBX1
10661_at, KLF1
10663_at, CXCR6
10664_at, CTCF
10665_at, C6orf10
10666_at, CD226
10667_at, FARS2
10668_at, CGRRF1
10669_at, CGREF1
10670_at, RRAGA
10671_at, DCTN6
10672_at, GNA13
10675_at, CSPG5
10677_at, AVIL
10678_at, B3GNT2
10681_at, GNB5
10682_at, EBP
10683_at, DLL3
10686_at, CLDN16
10687_at, PNMA2
1068_at, CETN1
10690_at, FUT9
10691_at, GMEB1
10692_at, RRH
10693_at, CCT6B
10694_at, CCT8
10695_at, CNPY3
10699_at, CORIN
1069_at, CETN2
1070_at, CETN3
10712_at, FAM189B
10713_at, USP39
10714_at, POLD3
10716_at, TBR1
1071_at, CETP
10721_at, POLQ
10723_at, SLC12A7
10724_at, MGEA5
10725_at, NFAT5
10726_at, NUDC
10728_at, PTGES3
10730_at, YME1L1
10732_at, TCFL5
10733_at, PLK4
10734_at, STAG3
10735_at, STAG2
10736_at, SIX2
10737_at, RFPL3S
10738_at, RFPL3
10739_at, RFPL2
10740_at, RFPL1S
10741_at, RBBP9
10742_at, RAI2
10744_at, PTTG2
10745_at, PHTF1
10746_at, MAP3K2
10747_at, MASP2
10748_at, KLRAP1
10749_at, KIF1C
10750_at, GRAP
10752_at, CHL1
10753_at, CAPN9
10755_at, GIPC1
10758_at, TRAF3IP2
1075_at, CTSC
10761_at, PLAC1
10762_at, NUP50
10763_at, NES
10765_at, KDM5B
10766_at, TOB2
10767_at, HBS1L
10768_at, AHCYL1
10769_at, PLK2
10771_at, ZMYND11
10772_at, SRSF10
10773_at, ZBTB6
10775_at, POP4
10776_at, ARPP19
10777_at, ARPP21
10778_at, ZNF271
10780_at, ZNF234
10781_at, ZNF266
10782_at, ZNF274
10785_at, WDR4
10786_at, SLC17A3
10787_at, NCKAP1
10788_at, IQGAP2
10791_at, VAMP5
10793_at, ZNF273
10794_at, ZNF460
10795_at, ZNF268
10797_at, MTHFD2
10798_at, OR5I1
10799_at, RPP40
107_at, ADCY1
10801_at, SEPT9
10802_at, SEC24A
10803_at, CCR9
10807_at, SDCCAG3
10808_at, HSPH1
1080_at, CFTR
10810_at, WASF3
10813_at, UTP14A
10814_at, CPLX2
10816_at, SPINT3
10817_at, FRS3
10818_at, FRS2
1081_at, CGA
10825_at, NEU3
10826_at, FAXDC2
10827_at, FAM114A2
10840_at, ALDH1L1
10841_at, FTCD
10842_at, PPP1R17
10844_at, TUBGCP2
10845_at, CLPX
10846_at, PDE10A
10847_at, SRCAP
10848_at, PPP1R13L
10849_at, CD3EAP
1084_at, CEACAM3
10850_at, CCL27
10855_at, HPSE
10856_at, RUVBL2
10857_at, PGRMC1
10858_at, CYP46A1
10859_at, LILRB1
10861_at, SLC26A1
10863_at, ADAM28
10864_at, SLC22A7
10865_at, ARID5A
10866_at, HCP5
10867_at, TSPAN9
10868_at, USP20
10869_at, USP19
10871_at, CD300C
10873_at, ME3
10874_at, NMU
10875_at, FGL2
10876_at, EDDM3A
10879_at, SMR3B
1087_at, CEACAM7
10880_at, ACTL7B
10881_at, ACTL7A
10882_at, C1QL1
10884_at, MRPS30
10885_at, WDR3
1088_at, CEACAM8
10891_at, PPARGC1A
10892_at, MALT1
10893_at, MMP24
10894_at, LYVE1
10895_at, PPBPP2
10896_at, OCLM
10897_at, YIF1A
10898_at, CPSF4
10899_at, JTB
1089_at, CEACAM4
108_at, ADCY2
10900_at, RUNDC3A
10902_at, BRD8
10903_at, MTMR11
10904_at, BLCAP
10905_at, MAN1A2
10906_at, TRAFD1
10907_at, TXNL4A
10908_at, PNPLA6
10911_at, UTS2
10912_at, GADD45G
10913_at, EDAR
10914_at, PAPOLA
10915_at, TCERG1
10916_at, MAGED2
10917_at, BTNL3
10919_at, EHMT2
10920_at, COPS8
10921_at, RNPS1
10922_at, FASTK
10923_at, SUB1
10924_at, SMPDL3A
10926_at, DBF4
10927_at, SPIN1
10928_at, RALBP1
10929_at, SRSF8
10930_at, APOBEC2
10935_at, PRDX3
10936_at, GPR75
10938_at, EHD1
10939_at, AFG3L2
10940_at, POP1
10942_at, PRSS21
10943_at, MSL3
10944_at, C11orf58
10945_at, KDELR1
10946_at, SF3A3
10947_at, AP3M2
10948_at, STARD3
10949_at, HNRNPA0
10950_at, BTG3
10952_at, SEC61B
10953_at, TOMM34
10954_at, PDIA5
10955_at, SERINC3
10956_at, OS9
10957_at, PNRC1
10959_at, TMED2
10960_at, LMAN2
10961_at, ERP29
10962_at, MLLT11
10963_at, STIP1
10964_at, IFI44L
10966_at, RAB40B
10969_at, EBNA1BP2
10970_at, CKAP4
10972_at, TMED10
10973_at, ASCC3
10974_at, ADIRF
10975_at, UQCR11
10978_at, CLP1
10979_at, FERMT2
10980_at, COPS6
10981_at, RAB32
10982_at, MAPRE2
10983_at, CCNI
10985_at, GCN1L1
10987_at, COPS5
10988_at, METAP2
10989_at, IMMT
10990_at, LILRB5
10991_at, SLC38A3
10992_at, SF3B2
10993_at, SDS
10994_at, ILVBL
10998_at, SLC27A5
109_at, ADCY3
10_at, NAT2
11000_at, SLC27A3
11001_at, SLC27A2
11004_at, KIF2C
11005_at, SPINK5
11006_at, LILRB4
11007_at, CCDC85B
11009_at, IL24
11010_at, GLIPR1
11011_at, TLK2
11012_at, KLK11
11013_at, TMSB15A
11014_at, KDELR2
11015_at, KDELR3
11016_at, ATF7
11017_at, SNRNP27
11018_at, TMED1
11019_at, LIAS
1101_at, CHAD
11020_at, IFT27
11021_at, RAB35
11022_at, TDRKH
11024_at, LILRA1
11025_at, LILRB3
11026_at, LILRA3
11027_at, LILRA2
1102_at, RCBTB2
11030_at, RBPMS
11031_at, RAB31
11033_at, ADAP1
11034_at, DSTN
11037_at, STON1
1103_at, CHAT
11040_at, PIM2
11041_at, B3GNT1
11043_at, MID2
11044_at, PAPD7
11045_at, UPK1A
11046_at, SLC35D2
11047_at, ADRM1
1104_at, RCC1
11051_at, NUDT21
11052_at, CPSF6
11054_at, OGFR
11055_at, ZPBP
11056_at, DDX52
11057_at, ABHD2
11059_at, WWP1
1105_at, CHD1
11060_at, WWP2
11061_at, LECT1
11062_at, DUS4L
11063_at, SOX30
11064_at, CNTRL
11065_at, UBE2C
11066_at, SNRNP35
11067_at, C10orf10
11068_at, CYB561D2
11069_at, RAPGEF4
11070_at, TMEM115
11072_at, DUSP14
11073_at, TOPBP1
11074_at, TRIM31
11075_at, STMN2
11076_at, TPPP
11077_at, HSF2BP
11078_at, TRIOBP
11079_at, RER1
1107_at, CHD3
11080_at, DNAJB4
11081_at, KERA
11082_at, ESM1
11083_at, DIDO1
11085_at, ADAM30
11086_at, ADAM29
1108_at, CHD4
11092_at, C9orf9
11093_at, ADAMTS13
11094_at, CACFD1
11095_at, ADAMTS8
